county,state_well_number,aquifer,aquifer_type,entity_cooperator,data_transmission,latest_transmission_date,daily_high_water_level,latitude,longitude,status,period_of_record_inactive
Presidio,7430813,West Texas Bolson,Unconfined,Sul Ross State University,,,,29.540277,-104.31,Inactive,2009-02-25 to 2012-03-25
Reagan,4420854,Edwards-Trinity Plateau,Unconfined,Texas Water Development Board,Satellite,1/24/2018,227.83,31.639166,-101.545277,Active,
Real,6919401,Trinity,Confined,Texas Water Development Board,Satellite,1/24/2018,378.46,29.680277,-99.715555,Active,
Reeves,4644501,Pecos Valley,Unconfined,Texas Water Development Board,Satellite,1/24/2018,160.45,31.324166,-103.543888,Active,
Roberts,503709,Ogallala,Unconfined,Panhandle GCD,Satellite,1/23/2018,279.19,35.889166,-100.739999,Active,
Roberts,509553,Ogallala,Unconfined,Texas Water Development Board,Satellite,1/24/2018,279.48,35.822777,-100.928332,Active,
Roberts,510953,Ogallala,Unconfined,Panhandle GCD,Satellite,1/24/2018,265.79,35.769166,-100.775832,Active,
Roberts,517203,Ogallala,Unconfined,Texas Water Development Board,Satellite,1/24/2018,333.49,35.723332,-100.934999,Active,
Rusk,3541604,Carrizo-Wilcox,Confined,Texas Water Development Board,Satellite,1/24/2018,174.01,32.298055,-94.875277,Active,
Rusk,3543906,Carrizo-Wilcox,Unconfined,Rusk County GCD,Satellite,1/24/2018,158.9,32.27111,-94.646944,Active,
Rusk,3558405,Carrizo-Wilcox,Unconfined,Rusk County GCD,Satellite,1/24/2018,138.54,32.07861,-94.874166,Active,
Rusk,3702905,Carrizo-Wilcox,Confined,Rusk County GCD,Satellite,1/24/2018,122.38,31.893888,-94.770277,Active,
San Jacinto,6032219,Gulf Coast,Unconfined,Lower Trinity GCD,Satellite,1/24/2018,99.06,30.594721,-95.07861,Active,
San Jacinto,6133114,Gulf Coast,Unconfined,Texas Water Development Board,,,,30.471666,-94.980554,Inactive,2011-11-05 to 2012-08-19
Schleicher,4357905,Edwards-Trinity Plateau,Unconfined,Plateau UWC & SD,Satellite,1/24/2018,315.99,31.013888,-100.915277,Active,
Schleicher,4362607,Edwards-Trinity Plateau,Unconfined,Plateau UWC & SD,Satellite,1/24/2018,276.25,31.064444,-100.274999,Active,
Schleicher,5502807,Edwards-Trinity Plateau,Unconfined,Plateau UWC & SD,Satellite,1/24/2018,337.76,30.907777,-100.833333,Active,
Schleicher,5503109,Edwards-Trinity Plateau,Unconfined,Plateau UWC & SD,Satellite,12/31/2017,277.17,30.974166,-100.736388,Active,
Schleicher,5512134,Edwards-Trinity Plateau,Unconfined,Texas Water Development Board,Satellite,1/24/2018,309.67,30.862222,-100.597499,Active,
Schleicher,5512606,Edwards-Trinity Plateau,Unconfined,Plateau UWC & SD,Satellite,1/24/2018,272.85,30.820277,-100.506388,Active,
Schleicher,5514909,Edwards-Trinity Plateau,Unconfined,Plateau UWC & SD,Satellite,1/24/2018,96.02,30.782499,-100.259444,Active,
Schleicher,4361706,Edwards-Trinity Plateau,Unconfined,Plateau UWC & SD,,,,31.007222,-100.49611,Inactive,2011-12-20 to 2015-05-18
Schleicher,5510611,Edwards-Trinity Plateau,Unconfined,Plateau UWC & SD,,,,30.795277,-100.765833,Inactive,2011-05-29 to 2017-07-06
Smith,3430907,Carrizo-Wilcox,Confined,Texas Water Development Board,Satellite,1/24/2018,432.54,32.531666,-95.262777,Active,
Somervell,3242805,Trinity,Unconfined,Prairielands GCD,Satellite,1/24/2018,307.59,32.286388,-97.809444,Active,
Somervell,3242906,Trinity,Unconfined,Prairielands GCD,Satellite,1/24/2018,173.19,32.253333,-97.764166,Active,
Somervell,3242907,Trinity,Unconfined,Prairielands GCD,Satellite,1/24/2018,290.53,32.265277,-97.772499,Active,
Somervell,3250201,Trinity,Unconfined,Prairielands GCD,Satellite,1/24/2018,43.72,32.239166,-97.82861,Active,
Sutton,5545308,Edwards-Trinity Plateau,Unconfined,Texas Water Development Board,Satellite,1/24/2018,274.56,30.359444,-100.378888,Active,
Swisher,1142315,Ogallala,Unconfined,Texas Water Development Board,Satellite,1/24/2018,189.6,34.354444,-101.758611,Active,
Tarrant,3215504,Trinity,Confined,Texas Water Development Board,,,,32.812222,-97.174721,Inactive,1992-11-25 to 2012-02-15
Terry,2462601,Ogallala,Unconfined,Texas Water Development Board,Satellite,1/24/2018,138.02,33.066111,-102.29111,Active,
Tom Green,4337101,Lipan,Unconfined,Texas Water Development Board,Satellite,1/24/2018,47,31.499166,-100.466388,Active,
Tom Green,4345306,Lipan,Unconfined,Texas Water Development Board,Satellite,1/24/2018,51.37,31.374443,-100.405833,Active,
Travis,5747310,Trinity,Unconfined,Travis County,Satellite,1/24/2018,19.44,30.34139,-98.12806,Active,
Travis,5747312,Trinity,Unconfined,Travis County,Satellite,1/24/2018,55.26,30.33965,-98.12815,Active,
Travis,5850120,Trinity,Confined,Texas Water Development Board,Satellite,1/24/2018,344.9,30.234999,-97.873054,Active,
Travis,5850301,Edwards (Balcones Fault Zone),Confined,U.S. Geological Survey,Satellite,1/24/2018,156.53,30.210277,-97.781666,Active,
Travis,5841406,Trinity,Confined,Texas Water Development Board,,,,30.3075,-97.972499,Inactive,2008-06-01 to 2012-06-11
Uvalde,6950302,Edwards (Balcones Fault Zone),Confined,Edwards Aquifer Authority,Cellular,1/24/2018,30,29.208888,-99.784444,Active,
Val Verde,5463401,Edwards-Trinity Plateau,Unconfined,Texas Water Development Board,Satellite,1/24/2018,177.7,30.0575,-101.222777,Active,
Val Verde,7001707,Edwards-Trinity Plateau,Unconfined,Texas Water Development Board,Data Card,2/22/2017,55.98,29.883888,-100.988888,Active,
Victoria,8017502,Gulf Coast,Unconfined,Texas Water Development Board,Satellite,1/24/2018,34.38,28.684166,-96.948888,Active,
Walker,6028802,Gulf Coast,Unconfined,U.S. Geological Survey,Satellite,1/24/2018,78.14,30.528054,-95.563888,Active,
Ward,4525715,Pecos Valley,Unconfined,Texas Water Development Board,Satellite,1/24/2018,143.21,31.541388,-102.994999,Active,
Washington,5953915,Gulf Coast,Unconfined,Texas Water Development Board,Satellite,1/24/2018,33.76,30.166388,-96.384166,Active,
Wharton,6631107,Gulf Coast,Unconfined,Coastal Bend GCD,Satellite,1/24/2018,37.69,29.59861,-96.214166,Active,
Wharton,6653406,Gulf Coast,Unconfined,Texas Water Development Board,Satellite,1/24/2018,63.23,29.18611,-96.499444,Active,
Wharton,6661302,Gulf Coast,Unconfined,Coastal Bend GCD,Satellite,1/24/2018,52.99,29.108888,-96.409444,Active,
Wheeler,529505,Ogallala,Unconfined,Panhandle GCD,Satellite,1/24/2018,149.24,35.574443,-100.434166,Active,
Wheeler,539904,Other,Unconfined,Panhandle GCD,Satellite,1/24/2018,22.61,35.373054,-100.115555,Active,
Wheeler,529711,Ogallala,Unconfined,Texas Water Development Board,,,,35.539166,-100.464444,Inactive,2006-07-18 to 2012-08-15
Williamson,5803701,Trinity,Confined,Clearwater UWCD,Satellite,1/24/2018,649.77,30.884999,-97.710277,Active,
Williamson,5803702,Edwards (Balcones Fault Zone),Unconfined,Clearwater UWCD,Satellite,1/24/2018,58.53,30.885555,-97.710277,Active,
Williamson,5829603,Trinity,Confined,Texas Water Development Board,Satellite,1/24/2018,197.08,30.578888,-97.410833,Active,
Williamson,5827305,Edwards (Balcones Fault Zone),Confined,Texas Water Development Board,,,,30.59611,-97.661111,Inactive,1993-02-05 to 2016-02-10
Wilson,6862104,Carrizo-Wilcox,Confined,Texas Water Development Board,Satellite,1/24/2018,194.4,29.121388,-98.362777,Active,
Winkler,4615924,Pecos Valley,Unconfined,City of Wink,Satellite,1/24/2018,100.37,31.758055,-103.159722,Active,
Zavala,7702509,Carrizo-Wilcox,Confined,Texas Water Development Board,Satellite,1/24/2018,401.45,28.924443,-99.825832,Active,
